id,date,pn,latitude,longtitude,ts_url
2901524,2021-07-23 02:00:30,277,20.953,128.369,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2901524&cycle_number=277&dir_list=csio&mode=R
2901783,2021-07-22 07:35:13,157,38.623,134.662,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2901783&cycle_number=157&dir_list=kma&mode=R
2901784,2021-07-22 07:36:49,158,39.397,133.510,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2901784&cycle_number=158&dir_list=kma&mode=R
2901785,2021-07-22 06:30:51,158,41.718,136.571,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2901785&cycle_number=158&dir_list=kma&mode=R
2901788,2021-07-22 07:35:08,140,37.381,135.408,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2901788&cycle_number=140&dir_list=kma&mode=R
2901789,2021-07-22 07:33:37,139,40.187,138.645,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2901789&cycle_number=139&dir_list=kma&mode=R
2901791,2021-07-22 06:28:53,140,42.811,139.540,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2901791&cycle_number=140&dir_list=kma&mode=R
2901792,2021-07-24 07:15:23,91,38.979,137.238,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2901792&cycle_number=091&dir_list=kma&mode=R
2901795,2021-07-24 07:25:31,92,38.153,129.308,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2901795&cycle_number=092&dir_list=kma&mode=R
2901799,2021-07-27 08:07:16,125,35.247,125.135,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2901799&cycle_number=125&dir_list=kma&mode=R
2901801,2021-07-27 07:11:56,37,38.297,130.440,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2901801&cycle_number=037&dir_list=kma&mode=R
2901803,2021-07-27 07:10:14,37,38.37,133.141,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2901803&cycle_number=037&dir_list=kma&mode=R
2901804,2021-07-27 07:08:31,37,37.832,135.855,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2901804&cycle_number=037&dir_list=kma&mode=R
2902417,2021-07-07 10:40:54,45,35.458,161.667,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2902417&cycle_number=045&dir_list=jma&mode=R
2902421,2021-07-07 10:28:50,45,33.051,165.104,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2902421&cycle_number=045&dir_list=jma&mode=R
2902525,2021-07-19 13:55:09,310,30.128,142.086,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2902525&cycle_number=310&dir_list=jma&mode=R
2902532,2021-07-13 11:43:59,242,33.599,139.391,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2902532&cycle_number=242&dir_list=jma&mode=R
2902534,2021-07-14 23:03:07,236,21.369,160.357,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2902534&cycle_number=236&dir_list=jma&mode=R
2902747,2021-07-23 05:46:01,117,25.026,139.583,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2902747&cycle_number=117&dir_list=csio&mode=R
2902754,2021-07-26 02:13:16,238,32.604,148.726,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2902754&cycle_number=238&dir_list=csio&mode=R
2902822,2021-07-25 02:01:20,71,19.871,157.152,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2902822&cycle_number=071&dir_list=csio&mode=R
2903005,2021-07-17 11:28:24,193,28.662,143.657,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903005&cycle_number=193&dir_list=jma&mode=R
2903204,2021-07-21 22:00:23,154,26.971,155.884,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903204&cycle_number=154&dir_list=jma&mode=R
2903205,2021-07-24 21:46:46,154,23.69,165.743,http://argo.nims.go.kr/data/float_text_view1.php?sel=1&wmo_id=2903205&cycle_number=154&dir_list=jma&mode=R
